Well	Plate	OD	pred_conc	Fly 	DF	A	B	C
b12	2	0.06	6841.72	24	2	39	19	17
b12	2	0.06	6841.72	24	4	18	6	8
b12	2	0.06	6841.72	24	8	9	9	6
b12	2	0.06	6841.72	24	16	1	2	2
g1	1	0.6	68417.18	25	1	NA	NA	NA
g1	1	0.6	68417.18	25	5	38	32	25
g1	1	0.6	68417.18	25	25	8	8	9
g1	1	0.6	68417.18	25	125	0	3	1
g1	1	0.6	68417.18	25	625	0	1	0
g2	1	0.6	68417.18	26	1	NA	NA	NA
g2	1	0.6	68417.18	26	5	NA	NA	NA
g2	1	0.6	68417.18	26	25	22	17	21
g2	1	0.6	68417.18	26	125	3	2	1
g2	1	0.6	68417.18	26	625	0	0	1
g3	1	0.6	68417.18	27	1	NA	NA	NA
g3	1	0.6	68417.18	27	5	45	42	27
g3	1	0.6	68417.18	27	25	7	11	9
g3	1	0.6	68417.18	27	125	0	0	1
g3	1	0.6	68417.18	27	625	0	0	0
g4	1	0.6	68417.18	28	1	NA	NA	NA
g4	1	0.6	68417.18	28	5	43	41	30
g4	1	0.6	68417.18	28	25	5	6	10
g4	1	0.6	68417.18	28	125	1	2	1
g4	1	0.6	68417.18	28	625	0	0	0
g5	1	0.6	68417.18	29	1	NA	NA	NA
g5	1	0.6	68417.18	29	5	NA	NA	NA
g5	1	0.6	68417.18	29	25	21	14	13
g5	1	0.6	68417.18	29	125	3	5	5
g5	1	0.6	68417.18	29	625	1	0	1
g6	1	0.6	68417.18	30	1	NA	NA	NA
g6	1	0.6	68417.18	30	5	NA	NA	NA
g6	1	0.6	68417.18	30	25	15	14	13
g6	1	0.6	68417.18	30	125	6	2	4
g6	1	0.6	68417.18	30	625	1	0	1
g7	1	0.6	68417.18	31	1	NA	NA	NA
g7	1	0.6	68417.18	31	5	30	30	28
g7	1	0.6	68417.18	31	25	5	4	5
g7	1	0.6	68417.18	31	125	0	2	1
g7	1	0.6	68417.18	31	625	0	0	0
g8	1	0.6	68417.18	32	1	NA	NA	NA
g8	1	0.6	68417.18	32	5	29	30	34
g8	1	0.6	68417.18	32	25	5	7	5
g8	1	0.6	68417.18	32	125	1	2	1
g8	1	0.6	68417.18	32	625	0	0	1
g9	1	0.6	68417.18	33	1	NA	NA	NA
g9	1	0.6	68417.18	33	5	NA	NA	NA
g9	1	0.6	68417.18	33	25	13	16	17
g9	1	0.6	68417.18	33	125	1	4	3
g9	1	0.6	68417.18	33	625	0	4	1
g10	1	0.6	68417.18	34	1	NA	NA	NA
g10	1	0.6	68417.18	34	5	35	40	38
g10	1	0.6	68417.18	34	25	9	9	7
g10	1	0.6	68417.18	34	125	2	0	1
g10	1	0.6	68417.18	34	625	0	2	0
g11	1	0.6	68417.18	35	1	NA	NA	NA
g11	1	0.6	68417.18	35	5	36	33	43
g11	1	0.6	68417.18	35	25	8	8	10
g11	1	0.6	68417.18	35	125	1	0	1
g11	1	0.6	68417.18	35	625	0	0	0
g12	1	0.6	68417.18	36	1	NA	NA	NA
g12	1	0.6	68417.18	36	5	39	40	47
g12	1	0.6	68417.18	36	25	10	7	8
g12	1	0.6	68417.18	36	125	0	1	1
g12	1	0.6	68417.18	36	625	0	1	0
b1	1	6	684171.78	37	1	NA	NA	NA
b1	1	6	684171.78	37	5	NA	NA	NA
b1	1	6	684171.78	37	25	33	32	28
b1	1	6	684171.78	37	125	5	5	4
b1	1	6	684171.78	37	625	0	2	0
b2	1	6	684171.78	38	1	NA	NA	NA
b2	1	6	684171.78	38	5	NA	NA	NA
b2	1	6	684171.78	38	25	16	11	8
b2	1	6	684171.78	38	125	4	4	2
b2	1	6	684171.78	38	625	2	0	1
b3	1	6	684171.78	39	1	NA	NA	NA
b3	1	6	684171.78	39	5	NA	NA	NA
b3	1	6	684171.78	39	25	38	51	45
b3	1	6	684171.78	39	125	8	8	11
b3	1	6	684171.78	39	625	1	1	7
b4	1	6	684171.78	40	1	NA	NA	NA
b4	1	6	684171.78	40	5	NA	NA	NA
b4	1	6	684171.78	40	25	55	40	44
b4	1	6	684171.78	40	125	4	13	14
b4	1	6	684171.78	40	625	2	1	0
b5	1	6	684171.78	41	1	NA	NA	NA
